"sample","compounds","TRset","ncarbon_umole_cm2","tCO_umole_cm2","naCO_umole_cm2","cCOH_umole_cm2","COOH_umole_cm2","aCH_umole_cm2","aCOH_umole_cm2","Ester_umole_cm2","Ketone_umole_cm2","AmmNH_umole_cm2"
"01331","12-Tricosanone","calibration",1.69030887290258,0.0734916901261986,0.0734916901261989,0,0,3.38061774580515,0,0,0.0734916901261989,0
"01332","12-Tricosanone","test",2.05591974760306,0.0893878151131763,0.0893878151131763,0,0,4.1118394952061,0,0,0.0893878151131763,0
"01333","12-Tricosanone","calibration",2.19125991350107,0.0952721701522205,0.0952721701522205,0,0,4.38251982700214,0,0,0.0952721701522205,0
"01335","12-Tricosanone","calibration",2.78601900747651,0.121131261194631,0.121131261194631,0,0,5.57203801495303,0,0,0.121131261194631,0
"01336","12-Tricosanone","test",3.16349620004005,0.13754331304522,0.13754331304522,0,0,6.3269924000801,0,0,0.13754331304522,0
"01337","12-Tricosanone","calibration",3.30605237004412,0.143741407393222,0.143741407393222,0,0,6.61210474008822,0,0,0.143741407393222,0
"01338","12-Tricosanone","calibration",3.59838071415774,0.156451335398162,0.156451335398162,0,0,7.19676142831545,0,0,0.156451335398162,0
"01339","12-Tricosanone","test",3.87643740570621,0.168540756769835,0.168540756769835,0,0,7.75287481141239,0,0,0.168540756769835,0
"01340","12-Tricosanone","calibration",4.31709472310839,0.18769977056993,0.18769977056993,0,0,8.63418944621678,0,0,0.18769977056993,0
"01341","12-Tricosanone","calibration",4.42276909434852,0.192294308449936,0.192294308449936,0,0,8.84553818869704,0,0,0.192294308449936,0
"01342","12-Tricosanone","test",4.78998352551706,0.20826015328335,0.20826015328335,0,0,9.5799670510341,0,0,0.20826015328335,0
"01343","12-Tricosanone","calibration",5.02987557312758,0.218690242309895,0.218690242309895,0,0,10.0597511462552,0,0,0.218690242309895,0
"01344","12-Tricosanone","calibration",5.38586510902012,0.234168048218266,0.234168048218266,0,0,10.7717302180402,0,0,0.234168048218266,0
"01345","12-Tricosanone","test",5.62896426956661,0.244737576937678,0.244737576937678,0,0,11.2579285391332,0,0,0.244737576937678,0
"01346","12-Tricosanone","calibration",6.03306049949889,0.262306978239082,0.262306978239082,0,0,12.0661209989978,0,0,0.262306978239082,0
"01347","12-Tricosanone","calibration",6.34254689781983,0.275762908600862,0.275762908600862,0,0,12.6850937956396,0,0,0.275762908600862,0
"01348","12-Tricosanone","test",6.82345348256854,0.296671890546457,0.296671890546457,0,0,13.646906965137,0,0,0.296671890546457,0
"01349","12-Tricosanone","calibration",7.04025431704002,0.306098013784349,0.306098013784349,0,0,14.08050863408,0,0,0.306098013784349,0
"01350","12-Tricosanone","calibration",7.16452994330884,0.311501301882994,0.311501301882994,0,0,14.3290598866177,0,0,0.311501301882994,0
"01351","12-Tricosanone","test",7.63260807631353,0.331852525057111,0.331852525057111,0,0,15.2652161526271,0,0,0.331852525057111,0
"01352","12-Tricosanone","calibration",8.26072114482291,0.359161788905344,0.359161788905344,0,0,16.5214422896458,0,0,0.359161788905344,0
"01353","12-Tricosanone","calibration",8.7833201977394,0.381883486858234,0.381883486858234,0,0,17.5666403954788,0,0,0.381883486858234,0
"01355","12-Tricosanone","test",9.26374571554768,0.402771552849899,0.402771552849899,0,0,18.5274914310954,0,0,0.402771552849899,0
"01356","12-Tricosanone","calibration",9.33702824613444,0.405957749831931,0.405957749831931,0,0,18.6740564922688,0,0,0.405957749831931,0
"01357","12-Tricosanone","calibration",9.88079424442816,0.429599749757747,0.429599749757747,0,0,19.7615884888563,0,0,0.429599749757747,0
"01358","12-Tricosanone","test",10.3900837786599,0.451742772985215,0.451742772985215,0,0,20.7801675573198,0,0,0.451742772985215,0
"01359","12-Tricosanone","calibration",10.3846316866689,0.451505725507341,0.451505725507341,0,0,20.7692633733377,0,0,0.451505725507341,0
"01360","12-Tricosanone","calibration",10.8669814722385,0.47247745531472,0.47247745531472,0,0,21.7339629444771,0,0,0.47247745531472,0
"01361","12-Tricosanone","test",11.4697583485542,0.498685145589311,0.498685145589311,0,0,22.9395166971083,0,0,0.498685145589311,0
"01362","12-Tricosanone","calibration",11.4962170302759,0.499835523055472,0.499835523055472,0,0,22.9924340605517,0,0,0.499835523055472,0
"01363","12-Tricosanone","calibration",12.5321145085939,0.544874543851908,0.544874543851908,0,0,25.0642290171877,0,0,0.544874543851908,0
"01364","12-Tricosanone","test",12.9516048806188,0.563113255679077,0.563113255679077,0,0,25.9032097612376,0,0,0.563113255679077,0
"01365","12-Tricosanone","calibration",12.9583398177843,0.563406079034099,0.563406079034099,0,0,25.9166796355685,0,0,0.563406079034099,0
"01387","levoglucosan","calibration",0.0397491660983634,0,0,0,0,0.0463740271147574,0.0198745830491817,0,0,0
"01388","levoglucosan","test",0.164238312670338,0,0,0,0,0.191611364782061,0.0821191563351689,0,0,0
"01389","levoglucosan","calibration",0.488259536975662,0,0,0,0,0.569636126471605,0.244129768487831,0,0,0
"01390","levoglucosan","calibration",0.834120962433848,0,0,0,0,0.97314112283949,0.417060481216925,0,0,0
"01391","levoglucosan","test",0.0255093549466086,0,0,0,0,0.0297609141043767,0.0127546774733043,0,0,0
"01392","levoglucosan","calibration",0.0391376404661347,0,0,0,0,0.0456605805438238,0.0195688202330673,0,0,0
"01393","levoglucosan","calibration",0.049620937019456,0,0,0,0,0.0578910931893652,0.0248104685097279,0,0,0
"01394","levoglucosan","test",0.113918489213814,0,0,0,0,0.132904904082783,0.0569592446069073,0,0,0
"01395","levoglucosan","calibration",0.102037419786583,0,0,0,0,0.119043656417681,0.0510187098932916,0,0,0
"01396","levoglucosan","calibration",0.101687976568199,0,0,0,0,0.118635972662899,0.0508439882840994,0,0,0
"01397","levoglucosan","test",0.120557910364386,0,0,0,0,0.140650895425117,0.0602789551821928,0,0,0
"01398","levoglucosan","calibration",0.164937199107032,0,0,0,0,0.192426732291537,0.082468599553516,0,0,0
"01399","levoglucosan","calibration",0.146766151747912,0,0,0,0,0.171227177039231,0.073383075873956,0,0,0
"01400","levoglucosan","test",0.176119382097495,0,0,0,0,0.205472612447077,0.0880596910487472,0,0,0
"01401","levoglucosan","calibration",0.178216041408099,0,0,0,0,0.207918714976115,0.0891080207040496,0,0,0
"01402","levoglucosan","calibration",0.228535864864473,0,0,0,0,0.266625175675218,0.114267932432236,0,0,0
"01403","levoglucosan","test",0.217703125092618,0,0,0,0,0.253986979274721,0.108851562546309,0,0,0
"01404","levoglucosan","calibration",0.232030297049062,0,0,0,0,0.270702013223906,0.116015148524531,0,0,0
"01405","levoglucosan","calibration",0.24181470716554,0,0,0,0,0.282117158359797,0.12090735358277,0,0,0
"01406","levoglucosan","test",0.305063929704522,0,0,0,0,0.355907917988608,0.152531964852261,0,0,0
"01407","levoglucosan","calibration",0.227138091990712,0,0,0,0,0.26499444065583,0.113569045995356,0,0,0
"01408","levoglucosan","calibration",0.321837204189954,0,0,0,0,0.375476738221616,0.160918602094978,0,0,0
"01409","levoglucosan","test",0.340707137986217,0,0,0,0,0.39749166098392,0.170353568993108,0,0,0
"01410","levoglucosan","calibration",0.400461928340682,0,0,0,0,0.46720558306413,0.200230964170342,0,0,0
"01411","levoglucosan","calibration",0.42806794259797,0,0,0,0,0.499412599697633,0.214033971298985,0,0,0
"01412","levoglucosan","test",0.473845004214526,0,0,0,0,0.552819171583615,0.236922502107264,0,0,0
"01413","levoglucosan","calibration",0.490268835481651,0,0,0,0,0.571980308061927,0.245134417740825,0,0,0
"01414","levoglucosan","calibration",0.543384204685621,0,0,0,0,0.633948238799891,0.271692102342811,0,0,0
"01415","levoglucosan","test",0.526261486981654,0,0,0,0,0.613971734811932,0.263130743490828,0,0,0
"01416","levoglucosan","calibration",0.579027412967243,0,0,0,0,0.675531981795116,0.28951370648362,0,0,0
"01417","levoglucosan","calibration",0.604536767913924,0,0,0,0,0.705292895899578,0.302268383956961,0,0,0
"01418","levoglucosan","test",0.689451469996542,0,0,0,0,0.804360048329298,0.344725734998269,0,0,0
"01419","levoglucosan","calibration",0.657652137117896,0,0,0,0,0.767260826637545,0.328826068558947,0,0,0
"01420","levoglucosan","calibration",0.67861873022476,0,0,0,0,0.791721851928888,0.339309365112381,0,0,0
"01421","levoglucosan","test",0.688752583559774,0,0,0,0,0.803544680819736,0.344376291779886,0,0,0
"01422","levoglucosan","calibration",0.779258377137508,0,0,0,0,0.909134773327095,0.389629188568756,0,0,0
"01423","levoglucosan","calibration",0.777511161045289,0,0,0,0,0.907096354552837,0.388755580522646,0,0,0
"01424","levoglucosan","test",0.80302051599197,0,0,0,0,0.936857268657299,0.401510257995986,0,0,0
"01425","levoglucosan","calibration",1.54873234415862,0,0,0,0,1.80685440151839,0.774366172079307,0,0,0
"01444","fructose","calibration",0.130270183273551,0,0,0,0,0.15198188048581,0.108558486061293,0,0,0
"01445","fructose","test",0.272098222952504,0,0,0,0,0.31744792677792,0.226748519127087,0,0,0
"01446","fructose","calibration",0.403156901386104,0,0,0,0,0.470349718283789,0.335964084488421,0,0,0
"01447","fructose","calibration",0.736494915099416,0,0,0,0,0.859244067615986,0.613745762582849,0,0,0
"01448","fructose","test",0.646626684682697,0,0,0,0,0.754397798796482,0.538855570568915,0,0,0
"01449","fructose","calibration",0.768432338717238,0,0,0,0,0.896504395170112,0.640360282264365,0,0,0
"01450","fructose","calibration",0.867971428575034,0,0,0,0,1.01263333333754,0.723309523812529,0,0,0
"01451","fructose","test",1.25716455242651,0,0,0,0,1.46669197783093,1.04763712702209,0,0,0
"01452","fructose","calibration",1.06719113306292,0,0,0,0,1.24505632190673,0.889325944219096,0,0,0
"01453","fructose","calibration",1.21923591344756,0,0,0,0,1.42244189902215,1.01602992787296,0,0,0
"01454","fructose","test",1.32764388903676,0,0,0,0,1.54891787054288,1.10636990753063,0,0,0
"01455","fructose","calibration",1.71254409479476,0,0,0,0,1.99796811059389,1.42712007899563,0,0,0
"01456","fructose","calibration",1.56413178356621,0,0,0,0,1.82482041416057,1.30344315297184,0,0,0
"01457","fructose","test",1.63017667731049,0,0,0,0,1.90187279019557,1.35848056442541,0,0,0
"01458","fructose","calibration",1.62272303930229,0,0,0,0,1.89317687918601,1.35226919941858,0,0,0
"01459","fructose","calibration",1.81585717858087,0,0,0,0,2.11850004167768,1.51321431548406,0,0,0
"01460","fructose","test",1.99601821373104,0,0,0,0,2.32868791601954,1.66334851144253,0,0,0
"11037","1-Docosanol|Suberic Acid","calibration",3.20850300134234,0.087549884857126,0,0.087549884857126,0.087549884857126,6.37182911760289,0.129922884632447,0,0,0
"11038","1-Docosanol|Suberic Acid","test",3.89582104108982,0.0853272562013056,0,0.0853272562013056,0.0853272562013064,7.78255629778994,0.161568728012936,0,0,0
"11039","1-Docosanol|Suberic Acid","calibration",4.33593572891462,0.042175734005482,0,0.042175734005482,0.0421757340054812,8.7769396622225,0.189419672404214,0,0,0
"11040","1-Docosanol|Suberic Acid","calibration",6.00888210177991,0.0655946505740609,0,0.0655946505740609,0.0655946505740617,12.1477796069337,0.261204704521985,0,0,0
"11041","1-Docosanol|Suberic Acid","test",4.36607303675185,0.00509578277187646,0,0.00509578277187646,0.00509578277187626,8.91948586730832,0.197531359348379,0,0,0
"11042","1-Docosanol|Suberic Acid","calibration",5.47408916948699,0.114058797361851,0,0.114058797361851,0.11405879736185,10.9481450160702,0.228084271819981,0,0,0
"11043","1-Docosanol|Suberic Acid","calibration",6.84857778102918,0.0440188894761264,0,0.0440188894761264,0.0440188894761259,13.9124133387027,0.303295555596577,0,0,0
"11044","1-Docosanol|Suberic Acid","test",8.7645167051263,0.0483557258777679,0,0.0483557258777679,0.0483557258777679,17.8219171312978,0.389595172800691,0,0,0
"11045","1-Docosanol|Adipic Acid","calibration",1.99381771112718,0.0170587969485777,0,0.0170587969485777,0.0170587969485776,4.04181970655181,0.0883018781946113,0,0,0
"11046","1-Docosanol|Adipic Acid","test",2.58254004742131,0.0241666290104386,0,0.0241666290104386,0.024166629010439,5.2308395713849,0.114092734563181,0,0,0
